area,bedrooms,bathrooms,age,location_score,price
2000,2,2,3,6,174.37
785,5,3,4,1,90.88
3995,2,3,10,3,238.68
2565,1,1,23,2,155.78
1268,5,3,18,9,182.62
3557,2,2,20,1,211.3
4789,3,3,2,9,379.59
2661,1,1,11,9,221.85
3793,1,1,25,8,261.86
1446,1,2,18,8,153.84
3835,3,2,18,1,221.71
4650,3,3,12,8,346.76
1981,4,3,27,10,211.02
2401,2,1,6,3,164.86
3951,4,2,14,7,287.19
4564,2,2,22,1,251.38
554,3,2,6,1,72.79
2323,3,3,25,10,228.25
3962,4,2,7,5,255.9
3579,5,1,4,5,263.39
1332,4,1,20,8,152.27
4908,2,3,13,7,329.47
3306,4,3,3,8,283.67
2990,1,2,22,6,214.47
827,2,3,9,6,117.83
3810,2,1,19,2,209.24
3800,5,2,14,6,247.0
4175,3,1,17,5,276.23
3554,2,2,19,3,213.67
2643,3,3,12,6,228.28
1811,4,2,28,8,188.53
3691,1,2,7,9,278.64
3038,5,1,8,1,197.57
4483,3,1,15,3,277.16
664,2,2,18,3,70.01
4777,3,3,15,8,350.29
1322,2,3,6,1,89.55
1443,3,1,13,5,136.25
4925,2,3,27,3,290.46
1274,4,1,13,2,109.05
2698,2,3,24,8,231.12
3656,2,2,26,3,214.47
4742,1,1,3,7,325.54
4195,2,1,25,1,220.01
3952,1,2,14,6,257.91
1414,5,1,2,3,123.16
1808,1,3,4,8,204.8
4677,4,3,0,6,318.43
1013,1,1,2,2,91.57
2420,5,3,14,6,199.65
4094,4,1,23,7,292.08
1909,3,2,26,5,158.42
3690,3,1,7,3,246.21
4991,1,2,30,4,281.01
2055,1,3,28,4,136.44
1304,5,2,3,6,155.53
1779,5,3,1,10,242.1
4077,2,1,28,1,205.01
3401,5,3,23,4,209.67
1887,2,1,23,10,197.45
3261,4,1,9,4,232.05
3179,1,2,3,10,260.31
2606,4,2,2,1,175.78
4723,5,2,1,9,348.29
3268,4,2,24,4,217.93
